Jorge Owens,2,4,6,6,4,8,8,6
Shannon Carlson,6,2,5,5,7,9,7,9
Elizabeth White,1,7,9,1,6,2,1,5
Erika Sanchez,3,7,1,1,1,2,5,4
Dr. John Bradley Jr.,2,5,6,7,8,1,9,4
Stacey Turner,9,4,7,9,7,3,6,6
Cynthia Pierce,2,1,9,6,1,7,1,7
Joshua Lowe,6,3,6,5,3,5,5,2
Christopher Bell,5,3,7,7,1,3,5,9
Jenna Hamilton,5,6,7,8,8,2,3,4
Jason Reed,1,6,2,5,8,6,9,2
Rachel Perez,6,4,2,9,3,5,8,4
Derrick Gordon,6,7,1,6,7,8,2,5
Kara Perkins,3,1,8,8,9,2,5,4
Katherine Jackson,7,5,4,9,1,3,5,4
David Fletcher,5,3,1,5,3,7,1,2
Mr. Jeffrey Barton,1,2,3,2,6,3,9,7
Denise Wilkerson,6,2,1,9,7,2,3,7
Christina Adams,8,8,8,9,2,4,2,7
Natalie Baker,9,1,3,2,3,8,9,5
Amanda Scott,7,8,9,3,1,2,3,3
Holly Baker,8,6,6,5,3,4,3,2
Christina Carroll,5,7,2,5,7,5,4,9
Tammy Tucker,6,8,3,3,5,8,7,3
Lisa Deleon,8,3,9,6,2,1,8,2
Eric Smith PhD,9,7,9,7,5,6,3,5
Kendra Clark,5,7,4,8,3,9,2,2
Dr. Amy Day,4,9,5,5,7,1,7,1
Corey Richardson,1,7,6,7,2,4,2,6
Megan Rowe,6,6,4,6,6,4,6,3
Brent Stone,9,6,2,7,4,3,1,6
Scott Young,1,4,8,4,3,4,1,7
Anna Rivera,7,1,5,7,7,6,8,9
Jonathan Rasmussen,1,7,2,5,5,3,7,2
Molly Snyder,1,5,1,4,8,7,2,1
Kayla Shepherd,1,5,8,2,7,3,5,2
Laura Williamson,1,5,6,5,4,5,3,7
Jonathan Hunt,5,3,1,5,3,3,4,8
Kelsey Ross,6,3,7,2,3,4,1,5
Heather Bailey,9,6,6,9,2,5,3,7
Zachary Marshall,1,9,8,7,7,4,1,9
Gina Lopez,1,8,8,5,9,7,3,7
Brandon Tucker,8,4,1,4,4,9,8,3
Rebecca Russell,1,7,8,6,6,8,9,4
Danny Gibson,2,2,2,2,5,8,8,5
Dawn Dyer PhD,4,1,1,1,8,4,2,3
Dr. Ruben Coleman,7,1,2,6,7,5,2,5
Morgan Rollins,3,9,8,5,9,3,4,4
Crystal Benson,7,8,1,1,4,4,5,3
Joseph Baxter,4,7,3,5,2,7,3,3
James Griffin,8,2,1,9,1,4,8,9
Sarah Schneider,5,4,1,4,7,7,8,5
Randy Brooks,2,4,2,1,1,6,7,8
Derek Diaz,4,2,6,3,9,6,4,2
Krista Roberts,5,7,3,6,6,3,1,9
Monica Bell,1,7,1,3,6,4,1,1
Jessica Brown,4,9,1,8,1,4,5,6
Robert Moore,7,6,3,1,2,9,3,9
Julian Mcclure,1,9,8,8,2,8,1,8
Jessica Sosa,3,4,3,9,8,3,9,9
Kyle Ashley,2,2,4,6,3,3,8,5
Raymond Harper,6,8,7,1,3,9,1,3
Andrea Conner,7,3,1,3,6,3,2,5
Sarah Cox,6,2,8,2,5,1,9,6
Lorraine Thomas,8,9,5,1,5,9,5,7
Michele Randall,6,8,9,2,8,3,9,7
Mrs. Brittney Gonzalez,8,2,2,7,6,3,9,6
Sandra Clark,4,2,3,1,7,1,6,5
Emily Contreras,7,7,1,9,7,5,9,4
Robert Richardson,5,8,3,3,7,3,4,4
Amanda Dyer,1,9,7,9,1,3,2,4
Andre Gross,5,3,1,3,2,8,7,3
Jessica Preston,6,5,1,5,3,7,2,1
Margaret Stafford,1,4,2,5,6,4,2,2
Ronald Murphy,6,1,7,4,5,7,4,7
Jesse Gilmore,3,5,2,7,8,9,1,7
Mary Price,9,7,5,9,5,4,5,5
Marcus Buck,3,8,5,2,2,4,9,1
Valerie Ali,4,6,1,6,9,4,2,1
Brenda Cherry,1,3,6,3,8,9,1,4
Rebecca Clark,4,3,1,2,6,8,6,4
Laura Rivera,3,1,7,3,3,9,6,1
Karla Wise,2,2,3,8,6,8,2,1
Benjamin Hall,2,9,8,9,6,2,3,1
David Dennis,1,1,1,1,6,3,4,7
Dylan Russo,7,5,9,1,5,7,7,3
Ryan Stewart MD,8,5,8,3,3,2,8,5
Michael Harper,1,6,6,9,8,3,2,8
Amy Rogers DDS,2,9,4,6,1,7,3,7
Sara Clay,6,4,3,1,4,6,3,5
Robin Taylor,6,1,9,6,9,9,3,4
Logan Miller,8,5,4,6,8,1,6,2
Nicholas Douglas,6,7,6,5,3,6,8,9
Cassandra Washington,7,3,4,9,2,5,6,2
Brian Oneal III,4,1,9,2,9,9,6,5
Gabriella Moore,5,1,2,5,9,1,5,1
Victoria Morales,4,4,2,4,4,8,4,2
Elizabeth Reed,1,5,1,2,5,5,9,4
Stephanie Munoz,3,6,7,8,1,3,5,9
Jordan Rogers,1,4,1,4,9,8,7,7
Adam Ramirez,9,5,2,7,9,6,6,4
Matthew Peters,5,7,9,2,8,8,9,2
Brandon Mclaughlin,1,3,4,5,3,2,9,9
Michael Rogers,9,9,8,9,6,9,5,2
Tiffany Warner,4,7,8,5,1,7,9,9
Vanessa Burnett,3,2,4,4,5,3,2,2
Deborah Velazquez,2,9,7,9,4,3,7,9
Katrina Cummings,7,5,5,8,6,5,3,7
Barbara Hayes,1,2,9,2,2,5,5,9
Eddie Stark,7,4,2,1,1,8,9,8
Michelle Stone,3,3,7,2,9,4,3,5
Linda Pollard DDS,2,4,6,7,7,5,4,3
Monique Hernandez,4,1,2,7,6,5,4,5
Aaron Garcia,3,3,5,2,4,2,5,8
James Thomas,7,6,9,6,4,8,5,1
Samuel Beard,1,7,7,7,7,7,9,9
